sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
711,21.77979660832582,0.7818088042517802,0.006493011489510536,0.03685199096798897,0.25,1.0,1.0,True,25,0.8
712,35.24186438839774,0.9560255269194166,0.0002988392661791295,0.025380685925483704,0.25,1.0,1.0,True,25,0.8
713,28.388393721660286,0.867489228716122,0.0012951892567798495,0.02563556842505932,0.25,1.0,1.0,True,25,0.8
714,33.92891527802273,0.9368142576194277,0.0004045942914672196,0.0206886138767004,0.25,1.0,1.0,True,25,0.8
715,33.520018584719416,0.967152688832967,0.0004445018421392888,0.016223767772316933,0.25,1.0,1.0,True,25,0.8
716,31.96762669027442,0.9560335246601956,0.0006333632627502084,0.023564856499433517,0.25,1.0,1.0,True,25,0.8
717,31.622959720540894,0.9695932191130546,0.0006881100125610828,0.02122517302632332,0.25,1.0,1.0,True,25,0.8
718,31.870743732873976,0.9642685004678181,0.0006490359082818031,0.025326795876026154,0.25,1.0,1.0,True,25,0.8
719,34.16232835121964,0.9589198570779234,0.0003828376065939665,0.02101566642522812,0.25,1.0,1.0,True,25,0.8
720,19.619817322317477,0.8074094780611863,0.01086534932255745,0.03517648205161095,0.25,1.0,1.0,True,25,0.8
721,27.285657916004705,0.9103535816949957,0.001857312978245318,0.03439449891448021,0.25,1.0,1.0,True,25,0.8
722,24.029494060168616,0.8714683028280407,0.0038831818383187056,0.021694669499993324,0.25,1.0,1.0,True,25,0.8
723,29.103999597752917,0.8896005953574636,0.0009662632364779711,0.02232278883457184,0.25,1.0,1.0,True,25,0.8
724,28.448178019490467,0.8695832163256342,0.0013485874515026808,0.03513379767537117,0.25,1.0,1.0,True,25,0.8
725,28.27178694861469,0.8355271817380572,0.0008852522005327046,0.03458807244896889,0.25,1.0,1.0,True,25,0.8
726,25.44554464428699,0.910497889026492,0.0028469949029386044,0.02475208416581154,0.25,1.0,1.0,True,25,0.8
727,29.548320524029883,0.9406585049333956,0.0011088101891800761,0.019903942942619324,0.25,1.0,1.0,True,25,0.8
728,25.831304739349278,0.9141714205990389,0.002607480389997363,0.026331063359975815,0.25,1.0,1.0,True,25,0.8
729,31.344525373268564,0.9811243470777422,0.0007240616250783205,0.023568086326122284,0.25,1.0,1.0,True,25,0.8
730,21.19652605886445,0.8236320719949568,0.007296494673937559,0.030129382386803627,0.25,1.0,1.0,True,25,0.8
731,36.41919087702542,0.9686347967853733,0.00022792036179453135,0.014188199304044247,0.25,1.0,1.0,True,25,0.8
732,36.78860815127309,0.9746746880197427,0.00020911730825901031,0.02508644573390484,0.25,1.0,1.0,True,25,0.8
733,26.76138082768253,0.9056616315995817,0.0020884929690510035,0.029726454988121986,0.25,1.0,1.0,True,25,0.8
734,29.656062051041165,0.9361485284133223,0.001081785187125206,0.017442017793655396,0.25,1.0,1.0,True,25,0.8
735,25.078600046843125,0.8653975619412613,0.00305510894395411,0.04648821800947189,0.25,1.0,1.0,True,25,0.8
736,26.077450097286277,0.9255024528715248,0.002440169220790267,0.037101104855537415,0.25,1.0,1.0,True,25,0.8
737,28.597652999621058,0.9237294301330098,0.0013550410512834787,0.022513892501592636,0.25,1.0,1.0,True,25,0.8
738,22.61609281272065,0.8517646383651762,0.005458715837448835,0.04573182016611099,0.25,1.0,1.0,True,25,0.8
739,21.481226990648913,0.6852741057830932,0.007088582031428814,0.0383724719285965,0.25,1.0,1.0,True,25,0.8
740,31.152661545708398,0.9246178087504471,0.0007666277815587819,0.017334312200546265,0.25,1.0,1.0,True,25,0.8
741,26.40305215827417,0.8882040503262797,0.0022870609536767006,0.035155802965164185,0.25,1.0,1.0,True,25,0.8
742,37.86394535302794,0.9673481231134373,0.00016330234939232469,0.025736825540661812,0.25,1.0,1.0,True,25,0.8
743,22.138177625444584,0.8999235632207525,0.006103971041738987,0.02835865132510662,0.25,1.0,1.0,True,25,0.8
744,25.3138824654418,0.8972624915472248,0.002773656975477934,0.034383684396743774,0.25,1.0,1.0,True,25,0.8
745,26.827309093787544,0.885024808983207,0.0019885541405528784,0.022921286523342133,0.25,1.0,1.0,True,25,0.8
746,31.99549331985991,0.9597402565465746,0.0006304433336481452,0.03046223148703575,0.25,1.0,1.0,True,25,0.8
747,36.21024138860939,0.9611621961935631,0.000239014727412723,0.02129480428993702,0.25,1.0,1.0,True,25,0.8
748,28.417197424321134,0.9279364866691846,0.0013363054022192955,0.02163238637149334,0.25,1.0,1.0,True,25,0.8
749,17.09448161639983,0.5934452016263206,0.019182488322257996,0.03295419365167618,0.25,1.0,1.0,True,25,0.8
750,28.429795778683456,0.8934795235067902,0.0012638205662369728,0.028017915785312653,0.25,1.0,1.0,True,25,0.8
751,20.891525656911423,0.8481814444547575,0.008127335458993912,0.021636927500367165,0.25,1.0,1.0,True,25,0.8
752,34.294731150893355,0.9732694888969939,0.00036695096059702337,0.026636622846126556,0.25,1.0,1.0,True,25,0.8
753,28.169421686558756,0.9357962919316486,0.0015153271378949285,0.021921610459685326,0.25,1.0,1.0,True,25,0.8
754,26.636746227225704,0.9266025652826386,0.0021605310030281544,0.02723623253405094,0.25,1.0,1.0,True,25,0.8
755,32.89225732727318,0.9216691439796404,0.0005134820239618421,0.02892838791012764,0.25,1.0,1.0,True,25,0.8
756,28.015715476641954,0.9398448417660991,0.0015775971114635468,0.017458636313676834,0.25,1.0,1.0,True,25,0.8
757,30.43164378230978,0.9242500305960053,0.0008746542735025287,0.019506296142935753,0.25,1.0,1.0,True,25,0.8
758,29.109643111055192,0.9449250673100552,0.0012248472776263952,0.01746092364192009,0.25,1.0,1.0,True,25,0.8
759,24.017945074920902,0.7976349637150703,0.003729813499376178,0.04190445318818092,0.25,1.0,1.0,True,25,0.8
760,30.998217338447652,0.941023909001466,0.0007936046458780766,0.029839131981134415,0.25,1.0,1.0,True,25,0.8
761,30.159035354100272,0.9115221178939065,0.0008972695795819163,0.029547806829214096,0.25,1.0,1.0,True,25,0.8
762,23.707323602529105,0.8690692936001033,0.0042159971781075,0.03506302833557129,0.25,1.0,1.0,True,25,0.8
763,21.094108073269794,0.8524944678966414,0.007744221948087215,0.031206039711833,0.25,1.0,1.0,True,25,0.8
764,35.86287940543113,0.9617377975715327,0.00025910488329827785,0.023774774745106697,0.25,1.0,1.0,True,25,0.8
765,32.603356494315214,0.9243190535819936,0.0005353966844268143,0.027348242700099945,0.25,1.0,1.0,True,25,0.8
766,24.638716091766703,0.8585427400451326,0.003293773625046015,0.043703384697437286,0.25,1.0,1.0,True,25,0.8
767,28.627057856768023,0.935704909680244,0.0013154384214431047,0.02336079441010952,0.25,1.0,1.0,True,25,0.8
768,32.87836865541859,0.9683429256266116,0.0005138844717293978,0.02036247029900551,0.25,1.0,1.0,True,25,0.8
769,29.194659593470703,0.8891064123214142,0.0010197238298133016,0.02478967420756817,0.25,1.0,1.0,True,25,0.8
770,20.717555879147397,0.7616566870916852,0.008333815261721611,0.03443925455212593,0.25,1.0,1.0,True,25,0.8
771,39.7057016221635,0.9848927044308715,0.00010691714123822749,0.012433739379048347,0.25,1.0,1.0,True,25,0.8
772,34.933352734028695,0.9450936595629612,0.0003210672293789685,0.024606596678495407,0.25,1.0,1.0,True,25,0.8
773,32.129096672657056,0.9398747057153222,0.0006047580973245203,0.029726702719926834,0.25,1.0,1.0,True,25,0.8
774,27.920487072719467,0.928960192737134,0.0016103610396385193,0.025486605241894722,0.25,1.0,1.0,True,25,0.8
775,30.87429045806627,0.9155846903985078,0.0006266534910537302,0.02424352802336216,0.25,1.0,1.0,True,25,0.8
776,31.937677528325995,0.9583360278907821,0.0006390531198121607,0.026203103363513947,0.25,1.0,1.0,True,25,0.8
777,29.11462204241236,0.8964601370503106,0.0012234542518854141,0.043324436992406845,0.25,1.0,1.0,True,25,0.8
778,27.2344309289739,0.9490159319942457,0.001888677361421287,0.01710902340710163,0.25,1.0,1.0,True,25,0.8
