sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
578,-7.64245634192957,0.4588759699132478,1402160.5,4112.982421875,0.03517363644899327,491.7650451660156,492.6241760253906,True,25,0.8
579,24.079117014128105,0.9454833932059468,260.34100341796875,6.267027378082275,0.05362885954993743,206.76785278320312,258.98614501953125,True,25,0.8
580,29.147414354620516,0.9681294601952698,256.79144287109375,3.3356661796569824,0.05503896929610939,401.3169250488281,459.6766052246094,True,25,0.8
581,-105.48989928766386,0.3721252381570017,3.399175416001331e+16,204440480.0,0.037975007132878456,1139.77587890625,980.0525512695312,True,25,0.8
582,-123.93380853357975,0.3580141322728328,5.950488210046976e+17,697770560.0,0.03777008646859444,527.9588012695312,493.12548828125,True,25,0.8
583,-156.08818023726295,0.3880466807376338,4.405770888152382e+20,2002267264.0,0.036135179579576314,325.8504333496094,329.4228515625,True,25,0.8
584,19.747727924487975,0.8447453585929294,4222.5,19.93880844116211,0.03497970536688386,825.8541259765625,633.7674560546875,True,25,0.8
585,28.46700691450593,0.9390376162848851,78.3539047241211,5.502546310424805,0.04658940220445907,222.34707641601562,240.9054718017578,True,25,0.8
586,26.525733171740974,0.8420823158156145,13.084790229797363,2.262105703353882,0.0475002554497893,78.735595703125,76.78746795654297,True,25,0.8
587,-30.6425293015039,0.48772368813240424,19497538.0,3691.093505859375,0.040061951918675016,142.4226531982422,129.75083923339844,True,25,0.8
588,28.55625346584341,0.9626440119894051,23.111764907836914,0.9233317375183105,0.049235765931263414,111.79804229736328,128.91778564453125,True,25,0.8
589,28.547287842164863,0.9414694021207014,31.090410232543945,3.282238483428955,0.04440494880628117,142.8227996826172,152.75079345703125,True,25,0.8
590,27.92131993995727,0.9287809194772052,30.458877563476562,1.3450225591659546,0.08978913594902392,98.25524139404297,139.68833923339844,True,25,0.8
591,31.403230259850208,0.954222419198268,286.4193115234375,10.126440048217773,0.05886804600965882,454.9189147949219,641.23388671875,True,25,0.8
592,22.95778760817889,0.849265541822094,160.170654296875,2.8008086681365967,0.062833068806135,122.15390014648438,182.69821166992188,True,25,0.8
593,30.923226096420734,0.9604434444423923,96.84098052978516,10.793073654174805,0.04468071745836306,416.4940490722656,346.3216247558594,True,25,0.8
594,-138.30211061956388,0.2519152409698955,5.3916804467809845e+19,19510165504.0,0.035002393529870425,1049.3912353515625,896.8916015625,True,25,0.8
595,28.147613892073657,0.8988699614598009,336.4230041503906,15.690731048583984,0.05171426462398656,551.6155395507812,474.4876708984375,True,25,0.8
596,24.434311313520368,0.8858424494683578,1590.539306640625,23.179725646972656,0.03698822301317555,700.5524291992188,667.8901977539062,True,25,0.8
597,33.75354019431113,0.9625288302653591,12.609777450561523,3.871124029159546,0.03782481359848989,183.2451934814453,173.14755249023438,True,25,0.8
598,30.313141768431432,0.9774924328606441,34.665470123291016,2.1684346199035645,0.05236346136169205,174.13453674316406,193.0967254638672,True,25,0.8
599,29.14090747778062,0.9599582544913355,2.1317195892333984,0.6057468056678772,0.049552334193127635,38.30103302001953,41.8277473449707,True,25,0.8
