sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
364,28.65559399078592,0.9541009997312745,0.001362084411084652,0.03497365862131119,0.7,1.0,1.0,True,100,0.8
365,28.643049119704468,0.9063955967471203,0.0012868689373135567,0.03151974454522133,0.7,1.0,1.0,True,100,0.8
366,21.701037953882167,0.7592005535820956,0.006704061757773161,0.03960591182112694,0.7,1.0,1.0,True,100,0.8
367,34.64283442712875,0.9545922826579604,0.0003422732697799802,0.021038023754954338,0.7,1.0,1.0,True,100,0.8
368,26.962578434820625,0.9256087055985343,0.0020090846810489893,0.024725792929530144,0.7,1.0,1.0,True,100,0.8
369,26.514345372532418,0.901346575603335,0.0022234539501369,0.034516170620918274,0.7,1.0,1.0,True,100,0.8
370,29.59856959006947,0.9427156883865687,0.0010955474572256207,0.024314792826771736,0.7,1.0,1.0,True,100,0.8
371,24.00234636216109,0.8602957800900519,0.003395617939531803,0.026867542415857315,0.7,1.0,1.0,True,100,0.8
372,26.42638724706414,0.8857315173346796,0.0021010085474699736,0.029928894713521004,0.7,1.0,1.0,True,100,0.8
373,34.54066779050227,0.9530282997602156,0.00035082161775790155,0.02307073585689068,0.7,1.0,1.0,True,100,0.8
374,27.935311451491067,0.9161640486773199,0.0015254406025633216,0.024390049278736115,0.7,1.0,1.0,True,100,0.8
375,30.270864876261978,0.957546680442935,0.0009305427665822208,0.027933970093727112,0.7,1.0,1.0,True,100,0.8
376,24.373602987612504,0.897689821536175,0.0036038001999258995,0.022373786196112633,0.7,1.0,1.0,True,100,0.8
377,27.62080385078783,0.8693496138472552,0.001690253266133368,0.03539084270596504,0.7,1.0,1.0,True,100,0.8
378,26.649767894592742,0.8256258347251436,0.0020620115101337433,0.03905314952135086,0.7,1.0,1.0,True,100,0.8
379,26.317913412367865,0.9066729928387023,0.002331523224711418,0.024105655029416084,0.7,1.0,1.0,True,100,0.8
380,17.08540952995211,0.695219505090077,0.01924493908882141,0.03782057389616966,0.7,1.0,1.0,True,100,0.8
381,17.998613743568615,0.6742404458972674,0.015585578978061676,0.040199775248765945,0.7,1.0,1.0,True,100,0.8
382,20.89102412048573,0.8692436199606134,0.008087136782705784,0.029586344957351685,0.7,1.0,1.0,True,100,0.8
383,24.261901848352352,0.8612706053111091,0.003468961687758565,0.031696632504463196,0.7,1.0,1.0,True,100,0.8
384,34.96138797143634,0.9554391121808958,0.00031867664074525237,0.016616713255643845,0.7,1.0,1.0,True,100,0.8
385,30.268523581401222,0.9290858339383752,0.0009372385684400797,0.03361565247178078,0.7,1.0,1.0,True,100,0.8
386,22.85504119365718,0.882064816424811,0.005127430893480778,0.041018784046173096,0.7,1.0,1.0,True,100,0.8
387,22.11550711512809,0.8715806962639647,0.006111740134656429,0.03927293419837952,0.7,1.0,1.0,True,100,0.8
388,26.8629974057555,0.9322911255653674,0.0020386974792927504,0.046800900250673294,0.7,1.0,1.0,True,100,0.8
389,29.52517167363158,0.9237363138096744,0.0011055843206122518,0.025569329038262367,0.7,1.0,1.0,True,100,0.8
390,32.085786713818145,0.9622318112013633,0.000618059653788805,0.027247676625847816,0.7,1.0,1.0,True,100,0.8
