sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
611,23.32996402706226,0.7166168911631725,0.004573157522827387,0.05454985424876213,0.7,1.0,1.0,False,200,0.8
612,20.013276314900672,0.6472299081633855,0.009907474741339684,0.06725355982780457,0.7,1.0,1.0,False,200,0.8
613,20.373787590161314,0.6592953098696148,0.009105981327593327,0.07614018023014069,0.7,1.0,1.0,False,200,0.8
614,19.87365462365526,0.7096561610254889,0.01023396011441946,0.07559926807880402,0.7,1.0,1.0,False,200,0.8
615,21.3561241886547,0.6718633446189893,0.007161552086472511,0.07085993885993958,0.7,1.0,1.0,False,200,0.8
616,17.537672738377964,0.5655074759754753,0.016563551500439644,0.057253725826740265,0.7,1.0,1.0,False,200,0.8
617,16.414613818352013,0.4565324273800771,0.022650761529803276,0.06759826093912125,0.7,1.0,1.0,False,200,0.8
618,18.73100512008598,0.7449609410961185,0.013015544973313808,0.05914847180247307,0.7,1.0,1.0,False,200,0.8
619,25.654560173649074,0.7982309828311738,0.002654353156685829,0.046308670192956924,0.7,1.0,1.0,False,200,0.8
620,24.1059593135992,0.7904205260623471,0.003878158750012517,0.0802079439163208,0.7,1.0,1.0,False,200,0.8
621,18.80551456768382,0.6185430894963216,0.01226490642875433,0.05534657463431358,0.7,1.0,1.0,False,200,0.8
622,22.045497484939144,0.7604076193287099,0.006242739502340555,0.06063159927725792,0.7,1.0,1.0,False,200,0.8
623,15.950897531823427,0.48944203441298106,0.025030579417943954,0.07661968469619751,0.7,1.0,1.0,False,200,0.8
624,17.748067488203326,0.6067160844722465,0.016709011048078537,0.077387236058712,0.7,1.0,1.0,False,200,0.8
625,16.154773060940432,0.5642997251771704,0.023932049050927162,0.06870728731155396,0.7,1.0,1.0,False,200,0.8
626,20.261183140072188,0.7312865751424374,0.009410020895302296,0.06469479203224182,0.7,1.0,1.0,False,200,0.8
627,23.06158473638966,0.7330458224478338,0.004931602161377668,0.0585072860121727,0.7,1.0,1.0,False,200,0.8
628,24.128699968003716,0.8642684883998563,0.0030928989872336388,0.04543250426650047,0.7,1.0,1.0,False,200,0.8
629,25.658339118901804,0.7998428411353009,0.0026722459588199854,0.04568839445710182,0.7,1.0,1.0,False,200,0.8
630,23.29458340681522,0.7691138546801651,0.004672876093536615,0.05196989327669144,0.7,1.0,1.0,False,200,0.8
631,23.6241299557682,0.6782979027053806,0.004264761693775654,0.04542415216565132,0.7,1.0,1.0,False,200,0.8
632,23.044680649561535,0.7211139230782639,0.004885602276772261,0.05044609680771828,0.7,1.0,1.0,False,200,0.8
633,20.203134564670457,0.632601223336344,0.009492645040154457,0.07386958599090576,0.7,1.0,1.0,False,200,0.8
634,18.387723086484417,0.6411311485854603,0.014444166794419289,0.06731236726045609,0.7,1.0,1.0,False,200,0.8
635,21.06605232593367,0.7079046780325632,0.007818511687219143,0.06537199765443802,0.7,1.0,1.0,False,200,0.8
636,20.380156884228803,0.6794589938947089,0.009156480431556702,0.06971141695976257,0.7,1.0,1.0,False,200,0.8
637,18.124090030584533,0.5116166810021842,0.014543638564646244,0.05901101604104042,0.7,1.0,1.0,False,200,0.8
638,34.72441372439232,0.9410648085292279,0.00033690285636112094,0.05283724516630173,0.7,1.0,1.0,False,200,0.8
639,21.740760270416676,0.6827448179419559,0.0066206203773617744,0.053917866200208664,0.7,1.0,1.0,False,200,0.8
