sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
71,23.728455879814856,0.7758052421818166,162.21685791015625,1.8538187742233276,0.579119254685626,135.6865692138672,199.5169677734375,True,10,0.0001,0.001,0.9
72,30.31381461540453,0.9781600579204205,0.039484184235334396,0.016950108110904694,0.2043450454517516,6.299463272094727,6.516594886779785,True,10,0.0001,0.1,0.9
73,20.665711789233402,0.8575385447124395,5611.35693359375,3.305586814880371,0.1746651637570216,1098.9696044921875,815.64599609375,True,10,0.0001,0.1,0.9
74,26.158102558440856,0.8632310808707611,1180.8162841796875,8.101239204406738,0.2008076793544751,710.419921875,707.1505126953125,True,10,0.0001,0.01,0.9
75,22.413981137637585,0.8481286871504617,3044.364990234375,3.0951592922210693,0.11196370033691648,1431.8375244140625,729.2781372070312,True,10,0.0001,1.0,0.9
76,25.087251456504248,0.9401287067675784,1839.873779296875,2.788048267364502,0.29556119881488796,663.3198852539062,771.4990844726562,True,10,0.0001,0.0215443469003188,0.9
77,30.607502564951933,0.9618289770925623,4.881503582000732,0.32369956374168396,0.20067377948811113,81.80844116210938,74.9706039428711,True,10,0.0001,0.1,0.9
78,28.013405766741318,0.9263638316954499,203.25914001464844,2.4754650592803955,0.23411323920699104,437.1838073730469,359.1072692871094,True,10,0.0001,0.1,0.9
79,31.488134747941675,0.939533831280636,8.998270034790039,1.0043258666992188,0.3259737939129409,117.2458724975586,116.75318908691406,True,10,0.0001,0.01,0.9
80,27.29909776352073,0.9296826677847657,1322.81201171875,7.546758651733398,0.30244912072922187,749.1129150390625,863.2402954101562,True,10,0.0001,0.0002154434690031,0.9
81,26.748991074679974,0.933635742884606,816.14208984375,4.211893081665039,0.35306504368240904,508.4131164550781,623.6748046875,True,10,0.0001,0.01,0.9
82,33.3793201096112,0.9847693287366684,50.39181900024414,2.2076289653778076,0.46136374096791444,308.98248291015625,331.567138671875,True,10,0.0001,0.0215443469003188,0.9
83,39.298668643714684,0.9603625947707578,0.4840031564235687,0.3268749415874481,0.27240544801744365,77.53053283691406,64.49478912353516,True,10,0.0001,0.0464158883361277,0.9
84,23.831878149550647,0.9182224029750093,401.2158508300781,1.1922959089279175,0.45359937631564157,232.6772918701172,311.67132568359375,True,10,0.0001,0.0046415888336127,0.9
85,24.551162745246945,0.9294855190466002,369.8965759277344,1.2524611949920654,0.3403473871238683,169.2255401611328,325.8581237792969,True,10,0.0001,0.0215443469003188,0.9
86,34.04287655818619,0.9431059694703826,200.54278564453125,8.492945671081543,0.19225005848293217,1335.3380126953125,729.8765869140625,True,10,0.0001,0.0215443469003188,0.9
87,32.15090289069678,0.9434373990024206,237.78854370117188,6.165789604187012,0.21818620421642337,723.8743286132812,637.919921875,True,10,0.0001,0.01,0.9
