sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
74,24.524859981680617,0.861201864156801,0.0034394010435789824,0.019931036978960037,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
75,19.677630692029282,0.8257504815090579,0.010748439468443394,0.00761396111920476,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
76,24.406488685716997,0.9216577977090314,0.0036157092545181513,0.008697500452399254,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
77,32.85004097132091,0.9781552524574032,0.0005182242020964622,0.006241343449801207,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
78,30.29821367793872,0.9672562257301205,0.0009313671034760773,0.007551106158643961,0.07,1.0,1.0,True,100,1e-05,0.2154434690031882,0.9
79,31.753692097242595,0.9386212406497375,0.0006209631101228297,0.012036426924169064,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
80,26.342399798740345,0.9225218143903768,0.002212608465924859,0.013079443015158176,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
81,26.270498528666685,0.9374466791520255,0.002342602936550975,0.009406733326613903,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
82,43.14453134556345,0.990264819686996,4.838334643864073e-05,0.004644036293029785,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
83,41.980446371053716,0.9694439656532708,6.275107443798333e-05,0.0051213959231972694,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
84,33.02003558765108,0.9660568142884532,0.0004979303339496255,0.004296889528632164,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
85,25.23605460240432,0.9314897067698777,0.002975322073325515,0.011977222748100758,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
86,26.484755583421794,0.9135748427973962,0.002145459409803152,0.011854165233671665,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
87,27.452658703697495,0.9397973520652428,0.001723785069771111,0.009015118703246117,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
88,39.47995127063156,0.9814316474431809,0.00011260993778705597,0.004644166678190231,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
89,40.51472770454598,0.9844825511069736,8.793936285655946e-05,0.007507950533181429,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
90,37.20553612136803,0.9710493688889701,0.0001872577122412622,0.004569314420223236,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
91,38.708334346861825,0.9782133207294101,0.00013445064541883767,0.004754997789859772,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
92,35.15513055139612,0.9731589612330938,0.0003049422812182456,0.005515261087566614,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
93,36.488806430229076,0.967598053477743,0.0002243255148641765,0.006535505410283804,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
94,33.847240934660235,0.9604031237993693,0.0004006399540230632,0.01173904724419117,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
95,40.53343274792703,0.9763451277809861,8.826012344798073e-05,0.00380450626835227,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
96,47.17003489384267,0.9855341341873195,1.916996916406788e-05,0.00554372975602746,0.07,1.0,1.0,True,100,1e-05,0.0002154434690031,0.9
97,42.50287190713145,0.990010698744018,5.612882523564622e-05,0.004376887809485197,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
98,25.832918108435216,0.9241651838563163,0.002575712278485298,0.01539443526417017,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
99,34.986059036098546,0.9618060847953869,0.000317065860144794,0.0242119412869215,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
